id_turma;discente;id_curso;unidade;nota;reposicao;faltas_unidade;media_final;numero_total_faltas;descricao
MATEMÁTICA ELEMENTAR;cd80acd7e3830c279a8c484b21e1a0e5;TECNOLOGIA DA INFORMAÇÃO;3;0,8;false;0;2,4;18;REPROVADO POR MÉDIA E POR FALTAS
MATEMÁTICA ELEMENTAR;5d74f1a18ce3658ce78ed985195bbcd2;TECNOLOGIA DA INFORMAÇÃO;1;4,0;false;0;2,2;10;REPROVADO
MATEMÁTICA ELEMENTAR;5d74f1a18ce3658ce78ed985195bbcd2;TECNOLOGIA DA INFORMAÇÃO;2;2,4;false;0;2,2;10;REPROVADO
MATEMÁTICA ELEMENTAR;5d74f1a18ce3658ce78ed985195bbcd2;TECNOLOGIA DA INFORMAÇÃO;3;0,1;false;0;2,2;10;REPROVADO
MATEMÁTICA ELEMENTAR;14507d2faa7bd4850154df35986648bc;TECNOLOGIA DA INFORMAÇÃO;1;2,8;false;0;1,0;28;REPROVADO POR MÉDIA E POR FALTAS
MATEMÁTICA ELEMENTAR;14507d2faa7bd4850154df35986648bc;TECNOLOGIA DA INFORMAÇÃO;2;0,3;false;0;1,0;28;REPROVADO POR MÉDIA E POR FALTAS
MATEMÁTICA ELEMENTAR;14507d2faa7bd4850154df35986648bc;TECNOLOGIA DA INFORMAÇÃO;3;0,0;false;0;1,0;28;REPROVADO POR MÉDIA E POR FALTAS
MATEMÁTICA ELEMENTAR;dbdf1bb891dfd1eb873f26aacff0f521;TECNOLOGIA DA INFORMAÇÃO;3;3,0;true;0;4,4;8;REPROVADO
MATEMÁTICA ELEMENTAR;dbdf1bb891dfd1eb873f26aacff0f521;TECNOLOGIA DA INFORMAÇÃO;1;3,4;false;0;4,4;8;REPROVADO
MATEMÁTICA ELEMENTAR;dbdf1bb891dfd1eb873f26aacff0f521;TECNOLOGIA DA INFORMAÇÃO;2;4,0;false;0;4,4;8;REPROVADO
MATEMÁTICA ELEMENTAR;07daf7d87a778919ecd71513362bb8a4;TECNOLOGIA DA INFORMAÇÃO;1;1,1;false;0;0,8;30;REPROVADO POR MÉDIA E POR FALTAS
MATEMÁTICA ELEMENTAR;07daf7d87a778919ecd71513362bb8a4;TECNOLOGIA DA INFORMAÇÃO;2;1,4;false;0;0,8;30;REPROVADO POR MÉDIA E POR FALTAS
MATEMÁTICA ELEMENTAR;07daf7d87a778919ecd71513362bb8a4;TECNOLOGIA DA INFORMAÇÃO;3;0,0;false;0;0,8;30;REPROVADO POR MÉDIA E POR FALTAS
MATEMÁTICA ELEMENTAR;77cdab3cf84b25d71ab8e610e02ec7a1;TECNOLOGIA DA INFORMAÇÃO;1;1,8;false;0;1,1;24;REPROVADO POR MÉDIA E POR FALTAS
MATEMÁTICA ELEMENTAR;77cdab3cf84b25d71ab8e610e02ec7a1;TECNOLOGIA DA INFORMAÇÃO;2;1,5;false;0;1,1;24;REPROVADO POR MÉDIA E POR FALTAS
MATEMÁTICA ELEMENTAR;77cdab3cf84b25d71ab8e610e02ec7a1;TECNOLOGIA DA INFORMAÇÃO;3;0,0;false;0;1,1;24;REPROVADO POR MÉDIA E POR FALTAS
MATEMÁTICA ELEMENTAR;af59cc91d3cb392887a5392d8b67b749;TECNOLOGIA DA INFORMAÇÃO;1;2,0;false;0;1,8;14;REPROVADO
